State,Percent
Alabama,16.1
Alaska,10.5
Arizona,12.8
Arkansas,16.3
California,12.3
Colorado,9.7
Connecticut,10.1
Delaware,11.6
District of Columbia,16.5
Florida,13.1
Georgia,14
Hawaii,11.2
Idaho,11
Illinois,12.1
Indiana,12.2
Iowa,11.1
Kansas,11.7
Kentucky,16.5
Louisiana,19.6
Maine,11.5
Maryland,10.3
Massachusetts,10.4
Michigan,13.1
Minnesota,9.3
Mississippi,19.4
Missouri,12.7
Montana,11.9
Nebraska,10.8
Nevada,14.1
New Hampshire,7.2
New Jersey,10.2
New Mexico,18.4
New York,13.9
North Carolina,13.4
North Dakota,11.1
Ohio,13.4
Oklahoma,15.6
Oregon,12.2
Pennsylvania,12.1
Rhode Island,11.4
South Carolina,14.6
South Dakota,12.3
Tennessee,13.6
Texas,14.2
Utah,8.6
Vermont,10.3
Virginia,10.2
Washington,9.9
West Virginia,16.8
Wisconsin,10.8
Wyoming,11.4
