Team,Opposing_Team,Pitch_Speed,Pitch_Type,Exit_Velocity,Launch_Angle,Distance
ATH,CIN,91.9,4,114.6,30,493
LAA,COL,97.8,Sinker,114.9,25,485
LAA,SF,76.2,Curveball,115.4,26,484
MIN,TEX,89.9,Slider,111.6,25,479
AZ,COL,94.4,4,106.7,29,474
ATH,SF,90.5,Sinker,108.5,25,471
DET,ATH,85.7,Slider,110.7,30,471
PIT,BOS,94.2,Cutter,111.7,36,471
LAA,ATH,82.2,Changeup,108.1,34,470
NYY,KC,94.3,4,117.9,31,469
ATL,KC,88.6,4,110,30,468
NYY,BOS,92.5,4,112.6,32,468
NYY,MIL,88.2,Cutter,115,30,468
PHI,MIA,89,4,116.5,24,468
TOR,COL,85.7,Changeup,108.3,33,467
TB,BAL,93.3,4,111.1,31,467
COL,AZ,84.8,Changeup,112,30,467
ATL,SD,93.1,4,115.5,23,467
AZ,WSH,84.5,Split-Finger,111.7,25,466
PHI,COL,91.5,Sinker,109.3,31,466
KC,PIT,93.1,4,110.8,27,466
CHC,COL,94.2,4,109,27,466
MIL,COL,92.5,Split-Finger,110.6,25,465
CWS,COL,92.1,4,108.7,25,464
ATL,WSH,92.4,4,111.6,26,464
PIT,LAA,88.1,Slider,116.6,28,463
BOS,ATH,92.2,4,109.9,33,463
PHI,ATL,93.1,4,116.7,24,462
BAL,ATL,91.7,4,108.7,28,461
ATL,SEA,84,Split-Finger,111.5,28,459
MIN,BAL,92.4,4,109,26,458
TB,ATH,90,Changeup,106.1,30,458
AZ,CHC,96.3,4,103.4,32,458
PIT,KC,78.4,Curveball,115.6,30,458
COL,CIN,89.6,Slider,107.4,30,457
BOS,COL,80.3,Curveball,111.1,26,457
KC,ATH,95.9,4,112.7,27,456
NYM,COL,85.5,Knuckle Curve,110.3,35,456
SEA,TEX,96.8,4,114.1,27,456
KC,MIN,86.5,Slider,108.7,30,456
PHI,WSH,84.7,Slider,109.3,30,456
ATL,NYY,82.1,Changeup,113.7,23,456
BAL,ATH,92.7,Cutter,112.4,32,455
NYM,WSH,96.7,4,114.8,24,455
AZ,LAD,94.1,Sinker,107.6,30,455
ATL,PHI,86,Slider,114.4,26,455
CWS,MIN,94.1,4,111.6,31,454
LAA,BOS,95.4,4,112.1,28,454
LAA,KC,80.8,Curveball,110.8,30,454
LAD,SF,92.1,Sinker,114.8,25,454
TOR,COL,52.7,Eephus,106.2,34,454
